"   ","OID","NAME","LONGDESC","LONGDESC_EXT1"
"49","1075327972","Water Abstraction Licence (England &amp; Wales)","<p>To remove more than 20 cubic metres of water a day from a watercourse or underground water reserve in England or Wales you will normally need an abstraction licence from the Environment Agency.</p>",""
"50","1075327978","Auction premises registration (England &amp; Wales)","<p>To sell goods by competitive bidding you may need to register the premises in which you auction with the local authority.</p>",""
"51","1074535354","Licence to provide ringtones for downloading (All UK)","<p>To provide ringtones for downloading you are likely to need a licence from PRS for Music.</p>",""
"52","1074535370","National road freight operators licence (Northern Ireland)","In Northern Ireland, to operate a goods vehicle with a gross weight of over 3.5 tonnes, which is used to carry goods for profit, you need a licence from Driver and Vehicle Licensing Northern Ireland.",""
"53","1074535372","National road service licence (Northern Ireland)","<p>In Northern Ireland, to operate a vehicle that carries more than eight people, for business purposes, you need a road service licence from Driver and Vehicle Licensing Northern Ireland.</p>",""
"54","1074535377","NLA educational licence (All UK)","<p>To make copies of newspaper content for teaching purposes, you generally need a licence from the Newspaper Licensing Agency (NLA).</p>

<p>Making copies can include photocopying, faxing, scanning and emailing.</p>

<p>An educational licence permits you to make copies from:</p>

<ul>
<li>UK national and regional newspapers</li>

<li>newspaper websites</li>

<li>certain specialist and foreign titles</li>
</ul>

<p>It also permits you to:</p>

<ul>
<li>use an overhead projector to project newspaper content onto a screen</li>

<li>include newspaper content in study literature</li>

<li>receive and distribute newspaper content from a public relations or press cuttings agency</li>
</ul>

<p>You can apply for an educational licence on the NLA website.</p>

<p>Annual fees consist of a basic licence fee calculated on the total number of staff and students at your educational establishment and, where appropriate, additional fees for frequent paper and digital copying.</p>

<p>If you have not applied for a licence before, you may also have to pay an indemnity charge to cover past copying.</p>

<p>Licences are subject to certain conditions - eg keeping records of the number of copies made and making these available for inspection by the NLA on request.</p>

<p>If you make copies of newspaper content without a licence, you are infringing copyright and could be sued for damages.</p>

<p>If you fail to pay the licence fee or comply with any other licence conditions, the NLA may terminate the licence.</p>

<p>If you are a business that makes copies of newspaper content for internal use - eg articles relating to your business, industry or competitors - you may need a business licence from the NLA instead.</p>",""
"55","1074535596","Quarantine premises licence (England, Scotland and Wales)","<p>To run quarantine premises for animals, you need a licence from Animal Health and Veterinary Laboratories Agency on behalf of the Department of Environment, Food and Rural Affairs (Defra) (England), the Scottish Government (Scotland), the Welsh Government (Wales).</p>

<p>In order to be granted a licence, you must satisfy the issuing department that your premises are under the supervision of a veterinary surgeon, or if your premises are purely for research, a registered medical practitioner authorised to act on a veterinary surgeon's behalf.</p>

<p>Conditions may be attached to a licence.</p>

<p>You must have a system in place to identify the animals received at your premises. You must also keep records for each animal, detailing its receipt, release or death, any treatment and any other relevant information. Information must be recorded within 36 hours of any relevant event and records must be kept for 12 months from the date of the event. You must produce records to an inspector or constable when required.</p>",""
"56","1074535603","Licence to train racehorses (England, Scotland and Wales)","<p>To train racehorses for entry into steeple chases, hurdle races and national hunt flat races you need a licence from the British Horseracing Authority (BHA).</p>

<p>Licences can be for jump races, flat races or a combined licence for both races.</p>

<p>Licences last for one year and must be renewed annually.</p>

<p>There are numerous criteria you must meet to hold a licence. You must:</p>

<ul class=""circlebullet"">
<li>have at least five years experience in training yards or stables, with at least two years in a senior, responsible position - eg Assistant Trainer</li>

<li>have at least three wins with a spread of horses as a permit holder</li>

<li>have managed a point to point yard for two years and have a minimum of ten point to point wins with a spread of horses</li>

<li>have NVQ level 3 in Racehorse Care and Management</li>

<li>attend and pass three one-week long courses held at the British Racing School or the Northern Racing College</li>

<li>attend a day-long seminar at Weatherbys</li>

<li>have public liability and employer's liability insurance</li>

<li>be fit and proper to hold a licence, including a consideration of honesty and integrity - eg consideration of any criminal convictions</li>

<li>comply with health and safety requirements</li>

<li>confirm that any employees are paid in line with the Racing Industry Minimum Rates of Pay and employed under required working standards</li>

<li>have suitable premises and facilities to train horses</li>
</ul>

<p>If you are applying for a licence for the first time, you will also have to show that you can recognise disease and health issues in horses and have knowledge in areas such as horse anatomy, feeding, racecourse requirements and the Rules of Racing.</p>

<p>You must also provide a business plan, professional references, details of the yard lease or agreements for its use, a projected profit and loss account and a reference to confirm you have around &pound;40,000 in capital or as an overdraft.</p>

<p>You must pass background checks and your yard and facilities will be inspected by a British Horseracing Authority Stable Inspector. Facility requirements will vary depending on whether you wish to train for jump or flat races.</p>

<p>Ideally you should have at least three horses in training.</p>

<p>You may be asked to attend an interview to show your knowledge, understanding of the Rules of Racing and management skills etc.</p>

<p>Licences will be subject to a fee which must be included in your application.</p>

<p>As part of the honesty and integrity requirements, licences are not usually issued to bookmakers.</p>

<p>Licences only allow training from a specified yard. If you wish to train from a different stable or yard you must have approval to do so.</p>",""
"57","1074535637","Railway network licence (All UK)","To operate a railway network, you need a licence from the Office of Rail Regulation.",""
"58","1074535639","Independent school registration (England &amp; Wales)","<p>If you run an independent school offering full time education, you need to register with the Department for Education (DfE) in England or&nbsp;the Welsh Government in Wales.</p>

<p>You must meet required standards on the:</p>

<ul class=""circlebullet"">
<li>quality of education provided</li>

<li>spiritual, moral, social and cultural development of students</li>

<li>welfare, health and safety of students</li>

<li>suitability of staff</li>

<li>premises and accommodation provided at your school</li>

<li>information provided by your school</li>

<li>handling of complaints</li>
</ul>

<p>Your application to enter your school in the register must be made in the prescribed manner, and must contain the required information, including:</p>

<ul class=""circlebullet"">
<li>the age range of students</li>

<li>the maximum number of students</li>

<li>whether the school is for male or female students or both</li>

<li>whether the school provides accommodation for students</li>

<li>whether the school is specially organised to make special educational provision for students with special educational needs (SEN) and, if so, the types of SEN provided for</li>
</ul>

<p>Your school will be inspected to ensure it is suitable. You will be notified as to whether it is suitable or not and, if it is, your details will be entered onto the register.</p>

<p>You must make an application in writing to DfE or the Welsh Government for approval of any material change to the school or the running of the school. This includes but is not limited to change of proprietor, change of address, or the change of any of the information which was required in the application for registration. In Wales, a material change also includes the provision for students with special educational needs.</p>

<p>Your school may be removed from the register if there is a material change that has not been approved.</p>

<p>Your school will be regularly inspected to ensure that standards are being met, and are likely to continue to be met.</p>

<p>If your school is not meeting the relevant standards, you may be required to submit an action plan for approval, specifying the steps that will be taken to meet the standards, and the time by which each step will be taken.</p>

<p>If you do not submit an action plan, or if an approved action plan is not complied with, a relevant restriction may be imposed on you, or your school may be removed from the register.</p>

<p>If a relevant restriction is imposed, you must take one or more of the following steps by a specified time:</p>

<ul class=""circlebullet"">
<li>cease to use any part of the school's premises for all purposes, or for specified purposes</li>

<li>close any part of the school's operation</li>

<li>cease to admit any new students or new students of specified descriptions</li>
</ul>

<p>You may be required to provide the Secretary of State in England or the Minister for Education and Skills in Wales, with certain information relating to your school on request.</p>

<p>You may be considered unsuitable to take part in the management of an independent school, in which case you will be prohibited from doing so. The DfE or the Welsh Government may remove your school from the register if it is satisfied that someone who either owns or carries out certain work for the school is prohibited under certain legislation.</p>

<p>If you fail to register you could be liable to up to six months imprisonment or a &pound;5,000 fine, or both.</p>",""
"59","1074535643","Licence to release non-native animals and those animals and plants listed under Schedule 9 of the Wildlife and Countryside Act 1981 (England, Scotland &amp; Wales )","<p>To release non-native animals and plants into the wild, you need a licence from Natural England or the&nbsp;Central Science Laboratory (for the release of biological control agents only) in England, the Scottish Government Agricultural Department in Scotland and the Environment, Planning &amp; Countryside Department in Wales.</p>",""
"60","1074535649","Registration of a residential family centre (England)","<p>If you operate a residential family centre, you need to register.</p>

<p>You may only run or manage a centre if you are fit to do so. You must:</p>

<ul class=""circlebullet"">
<li>be of integrity and good character</li>

<li>be physically and mentally fit</li>

<li>have the appropriate experience, skills and qualifications</li>

<li>have certain information, detailed in schedule 2 of Residential Family Centres Regulations 2002, available</li>
</ul>

<p>You must compile a statement of purpose containing the centre's objectives, the services provided and the arrangements for protecting residents under the age of 18. You must also produce a resident's guide and make this available to every resident parent.</p>

<p>You must create a written placement plan for each family. If there is conflict between the interests of the members of a family, you must prioritise the welfare of the child.<br />
Care provision must meet requirements regarding:</p>

<ul class=""circlebullet"">
<li>the health, welfare, treatment and supervision of residents</li>

<li>ensuring residents are not at risk of suffering harm or abuse</li>

<li>respect for residents' wishes, feelings, privacy and dignity</li>

<li>storage, administration and recording of medicine</li>

<li>training staff in first aid</li>

<li>standards of cleanliness and hygiene</li>

<li>management of complaints</li>

<li>health and safety risk assessment and fire management</li>

<li>prevention of toxic conditions and the spread of infection at the centre</li>

<li>access by residents to such medical advice or treatment as necessary</li>

<li>regular review of the quality of care provided</li>
</ul>

<p>No resident may be subject to physical restraint unless it is the only means of securing the welfare of a resident and there are exceptional circumstances. Corporal punishment may never be used.</p>

<p>You must implement a written child protection policy for safeguarding child residents, which sets out the procedure to be followed in the event of any allegation of abuse or neglect. You must have appropriate staff disciplinary procedures in place.</p>

<p>Your premises and facilities must be of sound construction, free from hazards, kept in a good state of repair and be otherwise suitable. This includes provision of suitable laundry, personal hygiene and food storage and preparation facilities, and suitable ventilation, heating, cooling and lighting. Each family must be provided with at least one private room which is adequately furnished.</p>

<p>The premises must be sufficiently equipped to meet the needs of any disabled resident.</p>

<p>There must always be a sufficient number of competent staff. You must only employ someone if they are of integrity and good character, are fit to do the work, have suitable qualifications and training, and if you have obtained the relevant information about them&nbsp;&nbsp;&nbsp;<br />
All permanent appointments must be subject to the satisfactory completion of a period of probation. All employees must receive appropriate training, supervision and appraisal.</p>

<p>You must notify a resident parent of any incident affecting their child's welfare unless this would place the child's welfare at risk. You must give immediate notice to RQIA of any:</p>

<ul class=""circlebullet"">
<li>death, injury, involvement in prostitution of, or child protection enquiry involving, a resident under the age of 18</li>

<li>accident, infectious disease, or other event which adversely affects the welfare of a resident or requires the calling of police</li>

<li>any serious complaint about the home or a member of staff</li>
</ul>

<p>If you are the owner but do not manage the centre you must regularly visit and interview residents and staff to determine the standard of care being provided. You must inspect the premises and records and prepare a written report.</p>

<p>You must give notice of any significant change to the centre or the running of the centre, or of you are conv","icted of any criminal offence.</p>

<p>You must keep the necessary records.<br />
</p>"
"61","1074535654","Registration of residential care homes (England)","<p>To run a residential care home for adults in England you need to register with the Care Quality Commission (CQC).</p>

<p>The service provider - which can be an organisation, partnership or individual - must register. If you are registered as an organisation or partnership then the person responsible for managing the services must also register. If you are registering as an individual, you don't need to have a separately registered manager unless you don't intend to be in charge full-time.</p>

<p>There are separate registration forms for each category of provider. Applications forms are available from the CQC website and once complete should be e-mailed to the CQC.</p>

<p>No application fee is payable, however once registered you must pay an annual fee towards ongoing compliance monitoring and any changes you wish to make to your registration. Fees can be paid by cheque of BACS.</p>

<p>Along with your application, you must:</p>

<ul class=""circlebullet"">
<li>provide details of each location from where you will provide residential care services</li>

<li>list the regulated activities you intend to carry out</li>

<li>meet essential standards of quality and safety</li>

<li>make a declaration of compliance</li>
</ul>

<p>If you carry out a regulated activity without being registered, you will be committing an offence, and you could be fined and/or imprisoned.</p>",""
"62","1074535679","Revenue trader registration (All UK)","<p>If you intend to deposit&nbsp; duty-suspended excise goods that you own in an excise warehouse or you intend to buy and store duty-suspended excise goods that are already held in an excise warehouse, you must be registered and approved by HM Revenue &amp; Customs (HMRC) as a Registered Owner unless:</p>

<ul class=""circlebullet"">
<li>you are not a revenue trader</li>

<li>you are an authorised excise warehousekeeper storing your own goods in your own excise warehouse</li>

<li>the goods are UK duty-paid excise goods that are being warehoused for export under the excise duty drawback scheme (see Notice 207)</li>

<li>the goods are wine or made-wine</li>

<li>the goods are hydrocarbon oil, bioethanol or special energy product</li>

<li>you are a non-UK based owner and have appointed a duty representative to act on your behalf</li>
</ul>

<p>Owners requiring registration must apply on form EX60 and duty representatives intending to act on behalf of overseas owners must apply on form EX64. If the business is a partnership, you must also complete form Excise 102. These forms can be downloaded from the HMRC website.</p>

<p>HMRC will only consider applications from owners and duty representatives who are based in the UK.</p>

<p>Prior to acting for an overseas owner, a duty representative must carry out checks to make sure the owner does not have a business establishment or fixed address in the UK.</p>

<p>When applying for registration, you must allow a minimum of 30 working days for your application to be processed. You are also required to send an up to date business plan with your application.</p>

<p>Other details you must disclose include:</p>

<ul class=""circlebullet"">
<li>any unspent convictions (other than minor motoring offences) that you or other key personnel in the business have</li>

<li>any previous registrations as an owner or duty representative, including your previous registration number, name and address</li>
</ul>

<p>All applicants will receive a pre-approval visit from HMRC in order to determine whether or not they are suitable for approval.</p>

<p>If your application is accepted and approval is granted, you will be issued with a certificate of registration.</p>

<p>You will only be permitted to hold dutiable goods of the class or description specified on your certificate of registration.</p>

<p>You must give the excise warehousekeeper a full copy of your certificate of registration before depositing or buying dutiable goods in their excise warehouse.</p>

<p>If you fail to register or comply with any conditions of your approval, you may be fined and your goods may be forfeited.</p>",""
"63","1074535379","NLA business licence (All UK)","<p>To make copies of newspaper content - eg articles relating to your business, industry or competitors - for internal use in a business, you generally need a licence from the Newspaper Licensing Agency (NLA).</p>

<p>Making copies can include photocopying, faxing, scanning and emailing.</p>

<p>A business licence permits you to make copies from:</p>

<ul>
<li>UK national and regional newspapers</li>

<li>newspaper websites</li>

<li>certain specialist and foreign titles</li>
</ul>

<p>It also permits you to receive and distribute newspaper content from a public relations (PR) or press cuttings agency.</p>

<p>You can apply for a business licence on the NLA website.</p>

<p>Annual fees consist of a basic licence fee calculated on the total number of staff or turnover and, where appropriate, additional fees for frequent paper and digital copying.</p>

<p>If you have not applied for a licence before, you may also have to pay an indemnity charge to cover past copying.</p>

<p>Licences are subject to certain conditions - eg keeping records of the number of copies made and making these available for inspection by the NLA on request.</p>

<p>If you make copies of newspaper content without a licence, you are infringing copyright and could be sued for damages.</p>

<p>If you fail to pay the licence fee or comply with any other licence conditions, the NLA may terminate the licence.</p>

<p>If your business is a press cuttings agency or a PR agency that supplies newspaper content to clients, you will need a PR licence from the NLA instead.</p>

<p>If you make copies of newspaper content for teaching purposes, you need an educational licence from the NLA instead.</p>",""
"64","1074535389","Vehicle Registration Plate Supplier Registration (All UK)","<p>To supply vehicle registation (number) plates (including manufacturers, distributors, motor factors, motor dealers, car repairers and retail outlets), you need to register with the Driver and Vehicle Licensing Agency (DVLA).</p>

<p>Applications must contain all required information for the register and are subject to a fee of &pound;40 for each premises where plates are to be supplied.</p>

<p>The register contains:</p>

<ul class=""circlebullet"">
<li>the name and residential address of a sole trader and all partners for partnership businesses</li>

<li>the business name for Scottish partnerships, the name and registration number for companies and limited liability partnerships (LLPs) or any other name traded under for sole traders</li>

<li>the address of the registered office for companies and LLPs, the address of the principal place of business (if not the registered address for companies and LLPs) and the address of any premises where business is carried out from (or where business as a plate supplier is to be carried on in Scotland)</li>

<li>a telephone number</li>

<li>the date of registration as a supplier and any suspension date</li>

<li>details of any convictions for any person or partner within the last five years, or 30 months in the case of someone under 18</li>

<li>the identification number given on registration</li>
</ul>

<p>You must get the following information from a purchaser before supplying a plate:</p>

<ul class=""circlebullet"">
<li>business name and address of the principal place of business (or registered address if this is the same for LLPs and companies)</li>

<li>if the purchaser is not a business, their name and residential address</li>

<li>if an agent for a purchaser, the name and address of the agent</li>

<li>the registration mark on the plate</li>

<li>the connection between the purchaser and the mark or the vehicle the plate is to be attached to</li>
</ul>

<p>If you are not a repairer and if the plate is to be fixed to a vehicle before it is to be sold or transferred, you don't have to obtain the final two pieces of information.</p>

<p>Insurance details may also be required in certain circumstances.</p>

<p>You must keep sales records for every plate, including the information obtained from the purchaser, the registration mark and details of documents viewed for verification purposes - eg document reference number and driver number - or copies of them.</p>

<p>You must give notice of any changes to information in your application or if you stop supplying plates within 28 days.</p>

<p>You must allow an authorised person or constable to enter your premises and inspect any plates or records.</p>

<p>Failure to comply with requirements may mean you commit an offence and could result in a fine of up to &pound;5,000 depending on the offence.</p>

<p>If you provide false or misleading information, your registration may be revoked, you may be banned from applying for registration for up to five years, or both. You will also have to pay a fine. If you commit an offence other than providing false or misleading information your registration may be suspended for up to five years, as well as, or instead, of a fine.</p>

<p>Your registration may be cancelled if the DVLA think you have not carried on a business as a plate supplier for at least 28 days.</p>

<p>Exemptions apply in certain circumstances.</p>",""
"65","1074535400","Nursing agency registration (Wales)","<p>To run a nursing agency, you need to register with the Care and Social Services Inspectorate Wales (CSSIW).</p>

<p>You may only carry on or manage a nursing agency if you are fit to do so. You must:</p>

<ul class=""circlebullet"">
<li>be of good character</li>

<li>be physically and mentally fit</li>

<li>have satisfactory information available</li>
</ul>

<p>You must run the agency with sufficient care, competence and skill.</p>

<p>You must compile, make available and keep under review a written statement of purpose which includes a statement as to the nature of the services provided.</p>

<p>You must take such training as is appropriate to ensure that you have the necessary experience and skills.</p>

<p>You must ensure that any nurse supplied by your agency:</p>

<ul class=""circlebullet"">
<li>is of integrity and good character</li>

<li>has the necessary qualifications, skills and experience</li>

<li>is physically and mentally fit for the job</li>

<li>has full and satisfactory information available</li>
</ul>

<p>The selection of a nurse for supply must be under the supervision of a nurse.</p>

<p>Every nurse you supply must at all times, when working for a service user, wear identification showing their name, the name of the agency and a recent photograph.</p>

<p>Personal information about a patient may only be disclosed to any member of staff where necessary to provide an effective service to the patient.</p>

<p>There must be at all times an appropriate number of suitably qualified, skilled and experienced staff. Each employee must receive appropriate supervision, and be provided with a job description outlining their responsibilities.</p>

<p>You must establish a procedure for obtaining information from service users about the performance of your agency's nurses, and you must take any necessary steps to address any problems.</p>

<p>You must provide each nurse who is employed by your agency with a written statement of the terms and conditions on which they will be supplied to work for a service user, in particular specifying their employment status.</p>

<p>You must prepare and provide to every member of staff, a staff handbook which includes information on the conduct expected of staff and disciplinary action which may be taken against them, their roles and responsibilities, and record keeping requirements.</p>

<p>Before a nurse is supplied, the service user must be informed of the name of the nurse and the means of contacting them, as well as the name of the member of agency staff who is responsible for that nurse, and details of how the service user may contact you or a nominated person.</p>

<p>You must keep the required records.</p>

<p>You must implement and make available an effective complaints system for handling complaints, which is appropriate to the needs of service users. Staff must be trained in the operation of the complaints procedure.</p>

<p>You must establish and maintain a system for monitoring, reviewing and improving the quality of care given to service users, and following a review you must prepare a report.</p>

<p>You must comply with any request by the National Assembly that you undertake an assessment of the service your agency provides to service users, by supplying the assessment in the form required within 28 days. You must comply with any notice by the National Assembly to take action that they consider necessary.</p>

<p>Your premises must be suitable for the purpose of achieving the aims and objectives of the agency set out in the statement of purpose.</p>

<p>You must give notice of any significant change to the agency or the running of the agency, or if you are convicted of any criminal offence.</p>",""
"66","1074535405","Nursing homes registration (England)","<p>To run a nursing home, you need to register with the Care Quality Commission (CQC).</p>

<p>Your application must be made in the required form. You must comply with any conditions that CQC imposes.</p>

<p>CQC will register your nursing home according to the requirements set out in the Health and Social Care Act 2008 (Regulated Activities) Regulations 2010 and associated guidance on compliance with the Regulations, the Essential Standards of Quality and Safety. These are available on the CQC website.&nbsp;</p>

<p>You may only carry on or manage a nursing home if you are fit to do so. You must:</p>

<ul class=""circlebullet"">
<li>be of good character</li>

<li>be physically and mentally fit</li>

<li>have satisfactory information available</li>

<li>have the necessary qualifications, skills and experience</li>
</ul>

<p>You must ensure that your service protects the health, safety and welfare of users, and that you regularly review the quality of your services.</p>

<p>You must take such training as is appropriate to ensure that you have the necessary experience and skills.</p>

<p>You must ensure that each service user receives safe and appropriate care, by means of:</p>

<ul class=""circlebullet"">
<li>assessing the needs of the user</li>

<li>planning and delivering care and treatment so as to meet individual needs, ensure the welfare and safety of the user, follow any published best practice guidance and avoid unlawful discrimination</li>
</ul>

<p>You must have procedures in place for dealing with emergencies which would affect the provision of services, in order to reduce any associated risks to service users.</p>

<p>You must protect service users against the risks of inappropriate or unsafe care, by operating systems which enable you to:</p>

<ul class=""circlebullet"">
<li>regularly assess and monitor the quality of the services provided against the requirements</li>

<li>identify, assess and manage risks</li>

<li>where necessary, make changes to the care provided</li>

<li>ensure that decisions are taken at the appropriate level, and the appropriate people are held accountable</li>
</ul>

<p>You must ensure that service users are safeguarded against abuse, and you must ensure that any form of control or restraint used is neither unlawful nor otherwise excessive.</p>

<p>You must ensure that both service users and employees are protected against identifiable risks of infections, by means of risk assessment, treatment, and appropriate standards of cleanliness and hygiene for premises and equipment.</p>

<p>You must make appropriate arrangements for the obtaining, recording, handling, storing, dispensing, administering and disposal of medicines.</p>

<p>You must ensure that service users are provided with, and enabled to consume, a choice of suitable and nutritious food and drink, in sufficient quantities to meet their needs, taking into account the user's religious or cultural background.</p>

<p>You must ensure that your premises are of suitable design and layout, and are secure and adequately maintained.</p>

<p>You must ensure that equipment is properly maintained, suitable for purpose and used correctly. Equipment must be available in sufficient quantities to meet user's needs and promote the independence and comfort of service users.</p>

<p>You must ensure that the dignity, privacy and independence of service users is promoted, and that they are sufficiently informed and enabled to participate in decisions relating to their care or treatment, where possible, and that you have arrangements in place for obtaining their consent to treatment or care.</p>

<p>You must implement an effective complaints system for identifying, receiving, handling and responding to complaints, under which every complaint is fully investigated.</p>

<p>You must keep accurate records on each service user.</p>

<p>You must only employee people who:</p>

<ul class=""circlebullet"">
<li>are of good character</li>

<li>have the necessary qualific","ations, skills and experience</li>

<li>are physically and mentally fit</li>

<li>have satisfactory information available</li>
</ul>

<p>You must ensure that there are always sufficient numbers of suitably qualified, skilled and experienced workers.</p>

<p>You must ensure that your employees receive appropriate training, supervision and appraisal, and are enabled to obtain further relevant qualifications.</p>"
"67","1074534730","Bookmaking office licence (Northern Ireland)","<p>If you use premises to take off-course bets you need a licence from the local Magistrates' Court. Licences will only be granted to individuals that hold a bookmaker's licence.</p>",""
"68","1074534736","Registration of beer brewer or beer packager (All UK)","<p>If you intend to brew beer for sale you must first register your premises with HM Revenue &amp; Customs (HMRC).</p>

<p>If you brew or package beer, you may also apply for registration to hold beer on your premises&nbsp;without payment of excise duty. You will need to specify the classes of beer which you intend to hold.</p>

<p>A sample application form for registration is available in guidance on the HMRC website.</p>

<p>As part of your application you must enclose a plan of the premises to be registered.</p>

<p>Applications should be sent to the HMRC National Registration Unit.</p>

<p>You must register at least 14 days before you produce or package any beer.</p>

<p>A separate registration is required for each business premises in which beer is produced or held.</p>

<p>No fee is payable and the registration will last until you stop trading.</p>

<p>Conditions may be attached to your registration - eg in relation to the classes of beer you may hold in duty suspension on your registered premises.</p>

<p>A certificate of registration will be issued for each set of premises registered for the production of beer.</p>

<p>A registered holder certificate will be issued for each set of premises registered to hold certain classes of beer without payment of duty.<br />
&nbsp;<br />
You must keep the certificate of registration and/or your registered holder certificate on your premises, and produce it on request for inspection by HMRC officers.</p>

<p>If you brew or hold beer on unregistered premises or fail to apply with any conditions of registration, you may be fined and the beer may be forfeited.</p>

<p>If you have any queries about registering, you can call the&nbsp;HMRC Excise Helpline on Tel 0845 010 9000.</p>

<p>If you are not a producer or packager of beer, you may hold beer in duty suspension in an excise warehouse - but you will need authorisation from HMRC.</p>",""
"69","1074534751","CAA Route Licence (All UK)","<p>If you intend to operate&nbsp;UK-registered aircraft&nbsp;on commercial passenger or&nbsp;cargo flights&nbsp;outside the European Economic Area (EEA), you need to apply to the Civil Aviation Authority (CAA) for a route licence.</p>

<p>The EEA comprises European Union countries, Iceland, Liechtenstein and Norway.</p>

<p>You must already hold an air operator's certificate (AOC) and an operating licence from the CAA before you can apply for a route licence.</p>

<p>If granted, a route licence will usually authorise flights anywhere within the scope of your AOC.</p>

<p>You can download a route licence application form from the CAA website.</p>

<p>Applications should normally be made at least six months before you intend to start operating.</p>

<p>&nbsp;The CAA issues two classes of route licence, both of which allow the carriage of passengers, cargo or mail (or any combination of these). The difference between them lies in the way space on the aircraft is sold:</p>

<ul class=""circlebullet"">
<li>scheduled licences authorise flights where at least some of the capacity is sold direct to the public without the involvement of a charterer</li>

<li>charter licences authorise flights where all the capacity on the aircraft is sold to one or more charterers for resale</li>
</ul>

<p>Completed applications should be sent to the CAA's Airline Licensing and Consumer Issues team.</p>

<p>There is no charge for applying for a route licence.</p>

<p>If the CAA is satisfied that a licence should be granted, it will normally publish details of your application on its website and, if an interested party submits a written objection, hold a public hearing at which you can provide evidence in support of your application.</p>

<p>You will be notified of the CAA's decision at the end of the hearing.&nbsp;</p>

<p>A licence may be granted subject to such terms as the CAA thinks appropriate.</p>

<p>Licences will last indefinitely, provided that your operating licence is not suspended or revoked.</p>

<p>However, holding a route licence does not automatically allow you to start operating. You will also need to be granted traffic rights by the government at the other end of the route. Negotiation of traffic rights is undertaken by the Department for Transport (DfT), although charter services airlines are generally required to seek permits directly from the countries concerned.&nbsp; The DfT will be able to provide more information on the availability of traffic rights.</p>

<p>If you operate flights outside the EEA without a route licence or in breach of any terms of your licence, you may be fined, imprisoned for up to two years or both.<br />
&nbsp;<br />
Flights to or from the UK using foreign-registered aircraft (whether operated by a UK licensed airline, another EEA carrier or a non-EEA airline) are not covered by route licences but by permits granted by the DfT. Contact the DfT for a permit if this applies to you.<br />
<br />
</p>",""
"70","1074534805","Registering cattle (All UK)","<p>If you&nbsp;keep cattle, you&nbsp;must ensure each animal is individually registered with the British Cattle Movement Service (BCMS) in England, Scotland and Wales or the Department of Agriculture and Rural Development (DARD) in Northern Ireland.</p>

<p>To register your animals you must apply to the relevant body for a passport. The relevant body must receive the application within a total of 27 days from birth.</p>

<p>All identification tags must be in the correct format. They must be approved, show the letters 'UK' followed by your 12 digit number that is unique to the herd and the animal. Unused tags must be securely stored. You must not alter, deface or obliterate tags.</p>

<p>You will normally receive a passport within&nbsp;7 days of applying.</p>

<p>If you import an animal from within the European Union (EU), you must apply for a passport within 15 days of the animal arriving at the holding destination.</p>

<p>If you import an animal from outside the EU, you must apply for a passport within 15 days&nbsp;of tagging the animal.</p>

<p>You must submit a passport application for bison calves within seven days of birth, although you can defer their tagging for up to nine months if you do not move them from their holding of birth, or separate them from their dam.</p>

<p>You must keep identification documents and produce them on request. If an identification document is lost, stolen, destroyed or illegible, you must apply for a replacement within 14 days of becoming aware of this. Fees may be payable. If you find the original, you must return it to the relevant authority within seven days.</p>

<p>You must comply with any notice requiring you to surrender identification documents or movement cards.</p>

<p>You must also ensure that you:</p>

<ul class=""circlebullet"">
<li>Accompany each animal with its valid passport when moving between holdings. Each passport must be given to a new keeper and if sold through a market, the market operator.</li>

<li>Tag bovine animals and notify bovine births, movements and deaths to the Cattle Tracing System within the legal deadlines.</li>

<li>Keep an up to date herd register for your cattle.</li>

<li>Ensure that the conditions of the General Licence for the Movement of Cattle are complied with when any movements are made. There is an obligation in the licence for keepers to inspect any cattle being moved for signs of foot and mouth disease. If you find any evidence of the disease, you must immediately notify your local Animal Health Divisional Office. If you do find evidence of disease, the cattle movement licence is invalid, and you are not allowed to move any animal kept on the premises.</li>

<li>Do not move untagged cattle from a holding.</li>

<li>Replace all removed, lost or illegible tags within 28 days.</li>

<li>Do not apply unapproved tags or duplicate identification codes.</li>
</ul>

<p>You must not falsely alter or deface an identification document, obstruct an inspector or fail to provide assistance, information, documents or records, or provide false/misleading information. You must not use an identification document for any animal other than the one issued it. You must provide any information required to an inspector or BCMS on request.</p>",""
